county,state,area mi2,Wind Capacity Intensity (MW / 1000 sq mile),Wind Project Intensity (Projects / 1000 sq mile),GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Solar MW 1000 sq mile,Solar Projects 1000 sq mile,No. of Private Schools,Median Income,Total Unemployment,Unemployment Rate,Hispanic/Latino,White,Black/African American,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Others,democrat_percentage_vote,republican_percentage_vote,green_percentage_vote,libertarian_percentage_vote,other_percentage_vote,18-24 Less than high school graduate,18-24 High school graduate,18-24 Some college or associate's degree,18-24 Bachelor's degree or higher,25+ Less than 9th grade,"25+ 9th to 12th grade, no diploma",25+ High school graduate,"25+ Some college, no degree",25+ Associate's degree,25+ Bachelor's degree,25+ Graduate or professional degree,25+ High school graduate or higher,25+ Bachelor's degree or higher
Chilton,Alabama,700.7035333866907,0.0,0.0,1403.72,1473.44,1590.24,1521.18,1551.03,1537.87,0.0,0.0,1.0,56243,35294,5.3,0.09814724307993068,0.7748256098102813,0.08974985560047985,0.002488114808726174,0.003909894699426845,0.00011107655396098992,0.030101746123428266,0.1591403417918177,0.8329880890730191,,,0.007871569135163127,13.4,52.5,33.4,0.7,5.9,11.9,41.6,19.1,7.5,8.2,5.8,82.2,14.0
Choctaw,Alabama,921.0523860066128,0.0,0.0,603.86,654.53,607.67,609.3,623.06,663.74,0.0,0.0,2.0,38581,10532,5.2,0.008922226608764312,0.5557836557441769,0.4119226213975523,0.0018949861823924202,0.0015001973943939992,0.0,0.019423608369522304,0.41894426580921756,0.5755627009646302,,,0.005493033226152197,13.0,45.3,39.3,2.4,6.4,11.2,38.2,21.5,9.7,9.6,3.4,82.4,13.0
Clarke,Alabama,1252.681782733972,0.0,0.0,649.9,673.37,667.28,677.44,674.57,652.37,0.0,0.0,1.0,44108,18614,12.5,0.00892277039026292,0.5184735998613939,0.4428033092216399,0.0032052670333954174,0.003941612162688959,4.3314419370208345e-05,0.02113743665266167,0.4381423677198325,0.5575942139322421,,,0.0042634183479253905,21.7,36.6,35.1,6.6,4.9,13.7,41.0,19.6,7.0,8.4,5.4,81.4,13.8
Clay,Alabama,605.7764969811461,0.0,0.0,649.71,772.21,703.15,701.77,715.06,716.35,0.0,0.0,2.0,45163,11636,5.7,0.031539758359089634,0.791022759202023,0.1364147232368643,0.003161000280977803,0.0032312447316661984,0.0002809778027535825,0.03189098061253161,0.18282828282828284,0.8082251082251082,,,0.008946608946608947,20.4,45.9,30.7,3.0,5.0,11.6,37.4,21.3,11.8,9.2,3.6,83.3,12.8
Cleburne,Alabama,561.1749859996019,0.0,0.0,538.67,550.39,509.22,500.65,563.7,592.55,0.0,0.0,,48333,12103,2.6,0.018862911795961744,0.9125929861849097,0.03035334750265675,0.002789585547290117,0.0013947927736450586,0.00013283740701381508,0.031615302869287994,0.09339975093399751,0.8971910889719109,,,0.0094091600940916,16.3,45.2,34.9,3.6,5.2,12.3,39.0,19.5,7.6,11.0,5.5,82.5,16.5
Coffee,Alabama,680.6635967304632,0.0,0.0,2095.33,2146.26,2118.1,2066.62,2361.32,2411.68,0.0,0.0,2.0,59034,42478,4.8,0.09140559244365473,0.668830075750491,0.1616571588889928,0.0075750490975404474,0.01668381183952118,0.0010661180211353222,0.04978958196951276,0.22787878787878788,0.7586531986531987,,,0.013468013468013467,17.5,39.5,34.1,8.9,4.5,8.9,28.9,23.0,13.1,13.1,8.5,86.6,21.6
Colbert,Alabama,623.4381719722966,0.0,0.0,3935.8,4115.29,4122.49,4061.67,4093.08,4227.95,0.0,0.0,1.0,52017,46692,3.4,0.030265434148216752,0.7556048718262358,0.16114770999702938,0.0038967620179286002,0.007548884267915494,0.00015726842224823948,0.04029566463382669,0.2991823854263788,0.688625116545937,,,0.012192498027684143,14.4,37.6,42.6,5.3,3.6,10.1,36.6,23.3,8.4,11.2,6.8,86.4,18.0
Conecuh,Alabama,852.9169515186863,0.0,0.0,515.62,474.94,459.41,430.27,444.92,411.19,0.0,0.0,,37986,9568,4.4,0.022074674484780548,0.5031473656980253,0.43942398896266277,0.0061222730016383545,0.0028455635078037424,0.0,0.0242304044149349,0.46048750194069243,0.5343890700201832,,,0.005123428039124359,37.2,39.7,23.1,0.0,2.9,7.7,48.3,19.8,8.1,7.7,5.7,89.4,13.3
Coosa,Alabama,666.4172934259019,0.0,0.0,278.34,292.58,285.4,264.95,266.48,296.01,0.0,0.0,,50013,8825,4.4,0.01935111196688168,0.6553384037739483,0.2888225666698758,0.002406854722248965,0.0007701935111196688,0.0,0.029941272744777127,0.3277970432560686,0.6627121737543348,,,0.009490782989596642,29.1,38.7,25.6,6.6,3.7,12.8,41.4,22.1,9.3,7.2,3.5,83.5,10.6
Covington,Alabama,1043.8053030981605,0.0,0.0,1216.28,1220.95,1158.92,1161.1,1200.19,1177.92,0.0,0.0,,46186,30145,5.5,0.01740750598882087,0.8159968059622039,0.12145328719723184,0.0037263774287995743,0.006388075592227841,0.0,0.03369709874900186,0.15611015490533564,0.8368330464716007,,,0.0070567986230636835,19.3,46.2,29.5,5.0,4.4,9.8,36.3,21.4,11.8,9.8,6.5,85.8,16.3
Crenshaw,Alabama,610.9150392463057,0.0,0.0,723.06,779.18,760.86,617.95,683.06,726.55,0.0,0.0,2.0,43103,10556,6.1,0.014173108988934363,0.7073669849931787,0.2338184023040776,0.0036380172805820826,0.006290738214339851,0.00015158405335758679,0.03319690768531151,0.2569140093698051,0.7350763185733716,,,0.008009672056823333,14.2,53.4,30.0,2.4,6.8,11.1,42.5,14.4,8.0,11.9,5.3,82.1,17.2
Cullman,Alabama,754.8751389082133,0.0,0.0,3745.37,3770.04,3870.52,3718.85,4001.06,4123.22,0.0,0.0,5.0,52690,70954,4.3,0.04718548699155532,0.8911069127990349,0.010402203355108915,0.0032663373773700864,0.005940864498213188,0.0007283818541870575,0.040550383538570094,0.10699863802537574,0.8812214761893383,,,0.011779885785285896,16.7,35.9,44.6,2.8,4.6,10.8,31.4,23.6,11.4,12.1,6.2,84.6,18.3
Dale,Alabama,562.440917946745,0.0,0.0,5040.48,4960.61,4989.84,4950.75,5141.01,5128.99,0.018846423974088717,0.0017779645258574261,,50052,39197,7.8,0.06596926570165836,0.6609496006163078,0.20476016705185907,0.004399302599034992,0.013137087945505412,0.0008514779223938694,0.0463244536349998,0.2619313000303982,0.724642820954504,,,0.01342587901509778,12.9,37.1,39.8,10.2,4.5,9.8,31.3,25.1,10.1,12.9,6.2,85.7,19.2
Dallas,Alabama,993.8221168663885,0.0,0.0,1254.45,1260.69,1271.3,1257.85,1266.98,1203.71,0.0,0.0,4.0,34957,30351,9.1,0.007695907649108211,0.2694347667827986,0.6971036347563829,0.0014559825282096615,0.0037699547605428733,0.0003119962560449275,0.019187769746763037,0.6846171070309002,0.30922525750111957,,,0.006157635467980296,16.6,44.2,37.6,1.5,3.4,11.2,39.7,19.4,10.6,10.1,5.6,85.3,15.7
DeKalb,Alabama,778.700154277438,0.0,0.0,2539.73,2652.43,2584.75,2410.48,2722.75,2801.23,0.0,0.0,2.0,44037,56883,3.9,0.16400402189699476,0.7614931292593007,0.014230253602949392,0.00998491788626969,0.0033096860685956878,0.00022343872193051055,0.0454697799128589,,,,,,15.1,41.6,36.1,7.1,11.1,11.1,31.8,20.6,11.2,8.3,5.9,77.7,14.1
Elmore,Alabama,657.0510912545338,0.0,0.0,2968.69,3028.91,3068.75,2985.78,3102.97,3142.36,0.0,0.0,4.0,67597,70825,4.2,0.03174693385771281,0.710867613126158,0.20603112177046273,0.003068983938984053,0.007604260204371597,0.00031826500107982766,0.03906702888254885,0.2526687789422374,0.7351693882524982,,,0.012161832805264441,14.7,42.9,39.3,3.1,3.4,8.1,33.8,20.7,9.9,15.8,8.4,88.5,24.2
Escambia,Alabama,952.73670825272,0.0,0.0,1332.73,1312.2,1311.77,1254.2,1258.66,1246.7,0.0,0.0,2.0,38464,29357,9.2,0.020431482438719156,0.5986342737437766,0.29714068068667193,0.040482085045025436,0.0029382158500421687,0.0005985254509345159,0.03830562885980902,0.3091137649277184,0.6831552482715273,,,0.007730986800754243,17.0,43.9,35.8,3.3,4.6,13.2,44.4,16.9,8.5,8.5,4.0,82.3,12.6
Etowah,Alabama,548.7110899393452,0.0,0.0,5641.43,5706.14,5590.09,5167.66,5286.54,5328.98,0.0,0.0,5.0,46984,83569,6.0,0.047323949108627555,0.7514888433427434,0.14500754089485285,0.0032097142194207045,0.00890405661471828,0.0003770447426427936,0.041842298619436176,0.2423524974857526,0.7443848474689909,,,0.013262655045256453,15.1,33.8,46.3,4.7,4.0,9.9,33.4,24.2,10.8,10.8,6.9,86.1,17.7
Fayette,Alabama,629.41114403963,0.0,0.0,547.56,540.75,550.27,533.69,550.98,536.55,0.0,0.0,,43960,13382,9.6,0.02426321916549231,0.8303412781079591,0.10538569940567367,0.0026346424851418416,0.0030022670179523313,6.127075546841493e-05,0.033086207952944056,0.1591375770020534,0.8327629477526808,,,0.008099475245265799,15.5,39.4,45.2,0.0,6.4,9.8,39.8,23.1,7.8,8.3,4.8,83.7,13.0
Franklin,Alabama,646.7465266594918,0.0,0.0,1496.96,1590.57,1526.14,1405.57,1511.79,1592.34,0.0,0.0,,43633,24985,3.8,0.19490548998847818,0.7343132064895836,0.035468501852832186,0.00398592470339115,0.002086382461931305,6.228007349048672e-05,0.028119453180954754,0.16584512641119414,0.8249324216886628,,,0.009222451900143107,14.0,40.6,38.7,6.7,6.1,13.8,40.1,18.1,7.1,10.3,4.5,80.1,14.8
Geneva,Alabama,578.9462506420012,0.0,0.0,904.27,925.46,975.11,965.98,999.74,962.97,0.0,0.0,,43581,21423,3.9,0.048613976518248996,0.8122585243257436,0.08368655988596721,0.006226790202183127,0.003225927454143066,0.00026257549045350536,0.043099891218725386,0.12714228776404943,0.8647269828616979,,,0.008130729374252691,18.2,44.8,33.5,3.5,6.3,10.3,36.7,21.8,11.0,9.7,4.2,83.4,13.9
Greene,Alabama,659.966958119655,0.0,0.0,331.35,328.4,347.55,317.33,294.81,303.12,0.0,0.0,,28826,6121,4.5,0.007891332470892626,0.16623544631306597,0.8055627425614489,0.000646830530401035,0.0009055627425614489,0.0,0.017205692108667528,0.8134031413612566,0.18324607329842932,,,0.003350785340314136,23.0,29.9,44.6,2.5,2.8,15.3,37.1,20.4,7.6,10.6,6.1,81.9,16.7
Hale,Alabama,656.2238141625195,0.0,0.0,446.65,407.92,409.51,418.94,381.26,347.98,0.0,0.0,1.0,32294,11591,7.6,0.010077781535339872,0.403922894825837,0.5622590463307406,0.0022996280013527224,0.0012174501183632059,0.00033818058843422386,0.018532296246195467,0.590253164556962,0.4040506329113924,,,0.00569620253164557,23.0,43.7,33.3,0.0,5.2,14.3,37.8,17.5,8.9,10.8,5.6,80.6,16.4
Henry,Alabama,568.3583215850804,0.0,0.0,742.69,760.55,781.79,789.36,817.06,789.99,0.0,0.0,1.0,55870,14191,5.3,0.019479762043625334,0.6906567129359618,0.24682141607371982,0.0029161320424588824,0.004257552781989969,0.0,0.03411874489676893,0.2802753280275328,0.7105829210582921,,,0.009141750914175092,14.1,44.9,35.5,5.4,5.8,12.7,32.8,18.7,9.1,14.0,7.0,81.5,21.0
Houston,Alabama,581.5858865514057,0.0,0.0,9302.39,9355.59,9513.96,9604.23,9982.1,9817.47,0.0,0.0,6.0,50222,85251,5.0,0.04179959329116994,0.6366578981735416,0.2633532956474693,0.0029943471203895448,0.011753512061342139,0.0005503628663644335,0.0408108057685491,0.27975223615532885,0.7064301648149351,,,0.013817599029735993,13.4,42.4,39.1,5.2,3.6,8.8,32.0,23.5,9.7,14.3,8.1,87.6,22.5
Jackson,Alabama,1127.0519177443075,0.0,0.0,1338.86,1412.91,1377.21,1291.18,1350.12,1317.16,0.0,0.0,2.0,43785,43027,6.0,0.031970938968029064,0.8581943361418056,0.030886855969113145,0.01293291998706708,0.004070065995929934,3.8037999961962e-05,0.059928868940071135,0.15726011169402607,0.8322051108478592,,,0.010534777458114741,17.5,45.7,34.8,2.0,5.2,12.8,37.4,19.2,9.3,10.2,5.9,82.0,16.2
Jefferson,Alabama,1124.0857810549444,0.0,0.0,39683.51,40395.1,40904.56,40483.66,42509.75,43218.63,0.0,0.0,52.0,58330,537683,5.4,0.05165987126530818,0.4805719697474956,0.4151523370400506,0.0017888875550042165,0.01933095309024026,0.00046093125899445846,0.029601865067190734,0.5575851317178562,0.426097444207115,,,0.016317424075028848,10.7,32.8,43.0,13.5,2.5,6.5,26.1,21.2,8.2,21.2,14.4,91.1,35.6
Lamar,Alabama,605.7688188193885,0.0,0.0,567.48,565.36,560.42,539.09,549.31,534.42,0.0,0.0,,43324,11102,5.0,0.014886916690523905,0.8534211279702262,0.10170340681362726,0.002004008016032064,0.00042943028914972805,0.00021471514457486402,0.026767821356999715,0.13596552203531212,0.858334491867093,,,0.005699986097594884,10.4,40.7,47.2,1.8,7.0,11.0,40.9,20.5,10.4,6.1,4.1,82.1,10.2
Lauderdale,Alabama,719.7900363671333,0.0,0.0,3683.62,3680.79,3676.49,3646.21,3823.04,3849.4,0.10419705221057796,0.0013892940294743727,4.0,50000,77733,3.6,0.03289726818006926,0.8175259715275106,0.09794365354196058,0.0031529220640417253,0.007994527809841391,0.00033132401350946945,0.03836945833867727,0.26872505018155574,0.7154198335551095,,,0.015855116263334763,5.3,31.2,54.1,9.4,3.0,8.3,34.9,20.0,8.1,16.1,9.8,88.8,25.8
Lawrence,Alabama,716.9759291406255,0.0,0.0,744.95,777.81,779.14,781.73,838.01,812.37,0.0,0.0,1.0,51712,26784,3.0,0.02706134913675808,0.7472560699059656,0.09983974843527953,0.04354004777310797,0.002539836120097965,0.00021165301000816375,0.07698122335439785,0.22219449815981535,0.7686357681991142,,,0.009169733641070425,16.8,46.1,32.0,5.1,5.7,11.6,41.1,18.5,7.3,10.1,5.7,82.7,15.8
Lee,Alabama,615.8532817015583,0.0,0.0,9967.84,9924.86,10298.0,10046.47,10654.07,11139.83,0.0,0.0,6.0,57191,143029,3.8,0.052427385058625695,0.6301329767391142,0.2252741891977204,0.0020947997314065,0.049035531246951064,0.0006198311534024713,0.03835492220545107,0.38992848045459,0.590924995451301,,,0.019146524094109083,7.0,24.9,57.0,11.1,2.4,5.9,21.7,20.6,9.2,22.1,18.0,91.7,40.2
Limestone,Alabama,607.2267946637456,0.0,0.0,6229.85,6173.85,6613.16,6593.87,7334.89,7715.67,0.024208417891276004,0.0016468311490663947,3.0,70736,84173,4.1,0.0699816549193782,0.7308293907502172,0.12722796176498985,0.004422129960413247,0.017929902481413535,0.0006758713913295356,0.04667374722409964,0.27768863613283234,0.7035645374225652,,,0.01874682644460242,15.1,30.9,46.6,7.3,4.3,8.4,27.8,20.9,9.1,18.9,10.7,87.3,29.5
Lowndes,Alabama,725.0975146011627,0.0,0.0,602.77,590.27,538.24,524.23,535.75,557.08,0.0,0.0,1.0,31961,8181,7.5,0.013577732518669382,0.2722335369993211,0.6933372126854815,0.0008728542333430317,0.0014547570555717194,0.0,0.018232955096498884,0.7274323335771763,0.2686174103877103,,,0.003950256035113387,15.1,53.7,21.5,9.8,4.8,11.9,41.6,15.3,10.1,10.5,5.8,83.3,16.3
Macon,Alabama,613.1317864619095,0.0,0.0,898.04,886.29,890.28,858.73,878.14,909.78,0.0,0.0,,39303,16423,12.5,0.01848249027237354,0.1631681343436412,0.7881937333606389,0.0024575056317837395,0.003788654515666598,0.00020479213598197828,0.02124718410813025,0.8148572738736674,0.1766594061676029,,,0.008483319958729795,5.4,22.9,68.5,3.2,3.8,13.5,31.7,23.0,7.5,10.7,9.8,82.7,20.6
Madison,Alabama,812.7389316821584,0.0,0.0,29207.01,30580.84,32157.63,32808.09,34261.31,35420.82,0.008858933317120506,0.0012304074051556258,30.0,71153,315604,4.2,0.06424270841652648,0.6118643936798118,0.2346471623303182,0.005492679433110139,0.02622419509832463,0.0011593366533300014,0.053388741037683596,0.4481560017867503,0.5277074658438031,,,0.02413653236944657,8.2,30.3,47.0,14.5,2.2,5.5,19.0,20.5,7.6,26.8,18.3,92.2,45.1
Marengo,Alabama,982.6083936660964,0.0,0.0,735.67,770.54,791.01,812.64,839.81,813.68,0.0,0.0,,35379,15434,2.8,0.01904466180199762,0.43342131139057083,0.5244009729338095,0.0003105107902499612,0.0027945971122496508,5.175179837499353e-05,0.018837654608497643,0.50348623853211,0.4901834862385321,,,0.006330275229357798,15.1,37.4,43.8,3.7,3.1,7.8,35.6,21.9,9.6,12.7,9.2,89.1,22.0
Marion,Alabama,743.4755903252643,0.0,0.0,1170.81,1198.61,1179.01,1173.9,1252.73,1262.74,0.0,0.0,1.0,44551,23947,6.5,0.02941276711768515,0.8893016597934631,0.03728570941685696,0.002794724106199516,0.0025561500971337035,0.00047714801813162467,0.036467741385774174,0.10596074454986601,0.8839718983124502,,,0.010067357137683784,15.9,37.7,38.7,7.8,6.1,13.2,35.5,21.7,11.6,7.1,4.7,80.6,11.8
Marshall,Alabama,623.1842128151202,0.0,0.0,5567.11,5707.99,5782.39,5621.75,5982.13,6143.46,0.0,0.0,1.0,52938,75849,3.8,0.16041060525345244,0.7649264434700651,0.023490964225709954,0.004282260377822399,0.005931647748227677,0.001311314182682457,0.03838667376961848,0.1498676081200353,0.8369940738872778,,,0.013138317992686924,16.4,38.7,38.9,6.0,6.5,9.1,31.9,20.2,10.9,14.5,6.9,84.4,21.4
Mobile,Alabama,1268.7194406696174,0.0,0.0,15554.89,15814.44,16071.41,16226.7,16874.03,17282.51,0.0,0.0,33.0,51169,328379,5.9,0.03236429296374958,0.546523821807145,0.3506071469037557,0.009023430060582099,0.020527519894698525,0.0005207215851150771,0.03852375430619876,0.43389530693804457,0.5527450809110961,,,0.013359612150859339,13.1,38.1,41.1,7.7,2.8,9.1,34.1,21.0,8.8,15.7,8.6,88.1,24.2
Monroe,Alabama,1034.6753834837118,0.0,0.0,700.23,672.73,645.42,621.27,624.83,584.33,0.0,0.0,,32631,16255,12.2,0.01046935059680356,0.5226583046732753,0.4174084564029941,0.014212016993728505,0.004450738417964798,0.0,0.029081529435565447,0.4176040494938133,0.5762092238470191,,,0.006186726659167604,14.8,54.9,27.8,2.4,3.5,12.8,44.0,17.5,8.7,7.8,5.7,83.7,13.5
Montgomery,Alabama,799.848656040075,0.0,0.0,17517.48,17472.71,17697.79,17264.68,17790.82,18055.71,0.0,0.0,21.0,52511,180677,6.8,0.04666439546808529,0.3203875014194991,0.5669304751172725,0.0015898390069620971,0.03473186753671043,0.0005197550599683779,0.02726311835565223,0.6508941990538537,0.3360029857069367,,,0.013102815239209595,10.6,38.7,41.8,8.9,3.6,8.4,25.6,21.1,7.6,19.5,14.2,88.0,33.7
Morgan,Alabama,599.06581445752,0.0,0.0,9274.62,9447.09,9368.64,9575.41,9734.46,10040.62,0.0,0.0,5.0,56128,98341,4.2,0.10028277197559572,0.7149350596737994,0.12402265416744314,0.005112582137561679,0.006716847214007341,0.0006400855608040771,0.04642645903047293,0.24634228062990954,0.7383194966680318,,,0.015338222702058747,13.2,47.8,34.4,4.5,6.0,8.8,30.8,21.6,9.0,15.9,7.9,85.2,23.8
Perry,Alabama,724.0207944927608,0.0,0.0,289.99,284.22,281.66,278.18,256.95,228.34,0.0,0.0,1.0,27057,6880,15.7,0.010457055575138057,0.2755257901539185,0.6948654682176008,0.0017624250969333803,0.0011749500646222536,0.00011749500646222535,0.014216895781929268,0.7380497131931166,0.2560229445506692,,,0.005927342256214149,0.7,32.6,66.0,0.7,6.6,13.8,42.9,16.1,5.3,10.1,5.1,79.6,15.2
Pickens,Alabama,889.6047933597421,0.0,0.0,508.64,494.08,501.24,494.92,486.28,500.02,0.0,0.0,1.0,43389,15746,5.3,0.055064581917063225,0.526381843852952,0.3894786382889714,0.0012027401558332897,0.004078857919782461,0.0,0.02295664906133975,0.41601158460901944,0.5786098469176665,,,0.005378568473314025,12.4,34.5,43.0,10.1,6.4,8.6,41.1,20.1,9.2,9.0,5.5,84.9,14.5
Pike,Alabama,672.9911176922205,0.0,0.0,2068.55,2076.81,2082.24,2053.83,2265.78,2325.67,0.0,0.0,3.0,40106,27502,4.9,0.02741676512466297,0.5463964373352722,0.36559726135296433,0.005119815807809991,0.01748008118997849,0.0002726529128419522,0.035353994365173134,0.40719601184885484,0.5810273824145654,,,0.011776605736579727,6.5,28.3,57.4,7.8,3.1,9.0,36.2,18.5,5.4,15.7,12.0,87.9,27.7
Randolph,Alabama,584.00149105982,0.0,0.0,827.42,849.11,819.58,793.86,860.21,878.4,0.0,0.0,1.0,47081,17952,3.2,0.02754131196795193,0.7569991350662357,0.17362407247234488,0.0022761414849547046,0.003914963354122092,4.552282969909409e-05,0.03441525925251514,0.20328504198578942,0.7897942234935867,,,0.0069207345206237884,15.0,26.0,55.7,3.3,6.1,11.9,34.9,18.4,10.0,12.1,6.7,82.0,18.8
Russell,Alabama,647.2999513264009,0.0,0.0,2309.65,2320.22,2338.49,2343.56,2478.84,2493.22,0.0,0.0,3.0,44065,46044,6.5,0.05398509707179427,0.4507882331074802,0.4381325718534039,0.0030414139195377053,0.006893871550952131,0.002162783231671257,0.041937718601625464,0.5264194289465047,0.46246893900323505,,,0.011111632050260209,21.8,41.8,29.0,7.4,5.5,9.3,29.6,26.0,13.3,10.3,6.1,85.2,16.4
St. Clair,Alabama,653.3699370397317,0.0,0.0,3092.18,3198.56,3241.59,3052.67,3184.28,3230.61,0.0,0.0,3.0,65070,73891,4.3,0.02826471137064641,0.8228269102005422,0.09458524966246995,0.002733170148074158,0.007189664445737242,0.00021953173880113718,0.042698923196821184,,,,,,21.6,34.0,38.3,6.1,4.1,8.7,35.5,23.2,9.2,13.3,6.0,87.3,19.3
Shelby,Alabama,809.4819164952754,0.0,0.0,14379.07,14675.71,15067.79,15064.97,15845.24,15994.55,0.0,0.0,15.0,82592,179299,3.1,0.07380371619197934,0.7295717052873233,0.1287350240332879,0.0021432670923308703,0.022930267594518976,0.0004080278355692661,0.040789332089819934,0.28941278816876903,0.6933449325793823,,,0.01724227925184863,12.9,32.8,42.0,12.3,2.0,4.2,20.2,20.1,7.9,29.8,15.8,93.8,45.6
