State,County Name,Electric Commercial Rate
Maryland,St Marys,
Massachusetts,Barnstable,
Massachusetts,Berkshire,
Massachusetts,Bristol,
Massachusetts,Dukes,
Massachusetts,Essex,
Massachusetts,Franklin,
Massachusetts,Hampden,
Massachusetts,Hampshire,
Massachusetts,Middlesex,
Massachusetts,Nantucket,
Massachusetts,Norfolk,
Massachusetts,Plymouth,
Massachusetts,Suffolk,
Massachusetts,Worcester,
Michigan,Chippewa,
Michigan,Dickinson,
Michigan,Luce,
Michigan,Mackinac,
Minnesota,Cook,
Minnesota,Cottonwood,
Minnesota,Jackson,
Minnesota,Kanabec,
Minnesota,Koochiching,
Minnesota,Lake of The Woods,
Minnesota,Martin,
Minnesota,Mille Lacs,
Minnesota,Nobles,
Minnesota,Watonwan,
Mississippi,Alcorn,
Mississippi,Benton,
Mississippi,Chickasaw,
Mississippi,Clay,
Mississippi,Itawamba,
Mississippi,Jefferson,
Mississippi,Kemper,
Mississippi,Lafayette,
Mississippi,Lee,
Mississippi,Lowndes,
Mississippi,Monroe,
Mississippi,Noxubee,
Mississippi,Oktibbeha,
Mississippi,Pontotoc,
Mississippi,Prentiss,
Mississippi,Tippah,
Mississippi,Tishomingo,
Mississippi,Union,
Mississippi,Winston,
Missouri,Bollinger,
Missouri,Butler,
Missouri,Carter,
Missouri,Douglas,
Missouri,Howell,
Missouri,Laclede,
Missouri,Oregon,
Missouri,Ozark,
Missouri,Phelps,
Missouri,Putnam,
Missouri,Ripley,
Missouri,Texas,
Missouri,Wright,
Montana,Daniels,
Montana,Garfield,
Montana,Lake,
Montana,Petroleum,
Montana,Treasure,
Nebraska,Adams,
Nebraska,Antelope,
Nebraska,Arthur,
Nebraska,Banner,
Nebraska,Blaine,
Nebraska,Boone,
Nebraska,Box Butte,
Nebraska,Boyd,
Nebraska,Brown,
Nebraska,Buffalo,
Nebraska,Burt,
Nebraska,Butler,
Nebraska,Cass,
Nebraska,Cedar,
Nebraska,Chase,
Nebraska,Cherry,
Nebraska,Cheyenne,
Nebraska,Clay,
Nebraska,Colfax,
Nebraska,Cuming,
Nebraska,Custer,
Nebraska,Dakota,
Nebraska,Dawes,
Nebraska,Dawson,
Nebraska,Deuel,
Nebraska,Dixon,
Nebraska,Dodge,
Nebraska,Douglas,
Nebraska,Dundy,
Nebraska,Fillmore,
Nebraska,Franklin,
Nebraska,Frontier,
Nebraska,Furnas,
Nebraska,Gage,
Nebraska,Garden,
Nebraska,Garfield,
Nebraska,Gosper,
Nebraska,Grant,
Nebraska,Greeley,
Nebraska,Hall,
Nebraska,Hamilton,
Nebraska,Harlan,
Nebraska,Hayes,
Nebraska,Hitchcock,
Nebraska,Holt,
Nebraska,Hooker,
Nebraska,Howard,
Nebraska,Jefferson,
Nebraska,Johnson,
Nebraska,Kearney,
Nebraska,Keith,
Nebraska,Keya Paha,
Nebraska,Kimball,
Nebraska,Knox,
Nebraska,Lancaster,
Nebraska,Lincoln,
Nebraska,Logan,
Nebraska,Loup,
Nebraska,McPherson,
Nebraska,Madison,
Nebraska,Merrick,
Nebraska,Morrill,
Nebraska,Nance,
Nebraska,Nemaha,
Nebraska,Nuckolls,
Nebraska,Otoe,
Nebraska,Pawnee,
Nebraska,Perkins,
Nebraska,Phelps,
Nebraska,Pierce,
Nebraska,Platte,
Nebraska,Polk,
Nebraska,Red Willow,
Nebraska,Richardson,
Nebraska,Rock,
Nebraska,Saline,
Nebraska,Sarpy,
Nebraska,Saunders,
Nebraska,Scotts Bluff,
Nebraska,Seward,
Nebraska,Sheridan,
Nebraska,Sherman,
Nebraska,Sioux,
Nebraska,Stanton,
Nebraska,Thayer,
Nebraska,Thomas,
Nebraska,Thurston,
Nebraska,Valley,
Nebraska,Washington,
Nebraska,Wayne,
Nebraska,Webster,
Nebraska,Wheeler,
Nebraska,York,
Nevada,White Pine,
New Hampshire,Belknap,
New Hampshire,Carroll,
New Hampshire,Cheshire,
New Hampshire,Coos,
New Hampshire,Grafton,
New Hampshire,Hillsborough,
New Hampshire,Merrimack,
New Hampshire,Rockingham,
New Hampshire,Strafford,
New Hampshire,Sullivan,
New Jersey,Atlantic,
New Jersey,Bergen,
New Jersey,Burlington,
New Jersey,Camden,
New Jersey,Cape May,
New Jersey,Cumberland,
New Jersey,Essex,
New Jersey,Gloucester,
New Jersey,Hudson,
New Jersey,Hunterdon,
New Jersey,Mercer,
New Jersey,Middlesex,
New Jersey,Monmouth,
New Jersey,Morris,
New Jersey,Ocean,
New Jersey,Passaic,
New Jersey,Salem,
New Jersey,Somerset,
New Jersey,Sussex,
New Jersey,Union,
New Jersey,Warren,
New Mexico,Cibola,
New Mexico,Colfax,
New Mexico,De Baca,
New Mexico,Guadalupe,
New Mexico,Harding,
New Mexico,Los Alamos,
New Mexico,Mckinley,
New Mexico,Mora,
New Mexico,Rio Arriba,
New Mexico,San Juan,
New Mexico,Taos,
New York,Suffolk,
North Dakota,Billings,
Ohio,Vinton,
Oklahoma,Adair,
Oklahoma,Beaver,
Oklahoma,Cimarron,
Oklahoma,Harper,
Oklahoma,Texas,
Oregon,Wheeler,
Rhode Island,Bristol,
Rhode Island,Kent,
Rhode Island,Newport,
Rhode Island,Providence,
Rhode Island,Washington,
South Dakota,Aurora,
South Dakota,Beadle,
South Dakota,Bennett,
South Dakota,Bon Homme,
South Dakota,Brule,
South Dakota,Buffalo,
South Dakota,Charles Mix,
South Dakota,Clark,
South Dakota,Clay,
South Dakota,Davison,
South Dakota,Dewey,
South Dakota,Douglas,
South Dakota,Gregory,
South Dakota,Haakon,
South Dakota,Hand,
South Dakota,Hughes,
South Dakota,Hutchinson,
South Dakota,Hyde,
South Dakota,Jackson,
South Dakota,Jerauld,
South Dakota,Jones,
South Dakota,Lyman,
South Dakota,Mellette,
South Dakota,Spink,
South Dakota,Stanley,
South Dakota,Sully,
South Dakota,Todd,
South Dakota,Tripp,
South Dakota,Yankton,
South Dakota,Ziebach,
Tennessee,Anderson,
Tennessee,Bedford,
Tennessee,Benton,
Tennessee,Bledsoe,
Tennessee,Blount,
Tennessee,Bradley,
Tennessee,Campbell,
Tennessee,Cannon,
Tennessee,Carroll,
Tennessee,Carter,
Tennessee,Cheatham,
Tennessee,Chester,
Tennessee,Claiborne,
Tennessee,Clay,
Tennessee,Cocke,
Tennessee,Coffee,
Tennessee,Crockett,
Tennessee,Cumberland,
Tennessee,Davidson,
Tennessee,Decatur,
Tennessee,Dekalb,
Tennessee,Dickson,
Tennessee,Dyer,
Tennessee,Fayette,
Tennessee,Fentress,
Tennessee,Franklin,
Tennessee,Gibson,
Tennessee,Giles,
Tennessee,Grainger,
Tennessee,Greene,
Tennessee,Grundy,
Tennessee,Hamblen,
Tennessee,Hamilton,
Tennessee,Hancock,
Tennessee,Hardeman,
Tennessee,Hardin,
Tennessee,Henderson,
Tennessee,Henry,
Tennessee,Hickman,
Tennessee,Houston,
Tennessee,Humphreys,
Tennessee,Jackson,
Tennessee,Jefferson,
Tennessee,Johnson,
Tennessee,Knox,
Tennessee,Lake,
Tennessee,Lawrence,
Tennessee,Lewis,
Tennessee,Lincoln,
Tennessee,Loudon,
Tennessee,McMinn,
Tennessee,McNairy,
Tennessee,Macon,
Tennessee,Madison,
Tennessee,Marion,
Tennessee,Marshall,
Tennessee,Maury,
Tennessee,Meigs,
Tennessee,Monroe,
Tennessee,Montgomery,
Tennessee,Moore,
Tennessee,Morgan,
Tennessee,Obion,
Tennessee,Overton,
Tennessee,Perry,
Tennessee,Pickett,
Tennessee,Polk,
Tennessee,Putnam,
Tennessee,Rhea,
Tennessee,Roane,
Tennessee,Robertson,
Tennessee,Rutherford,
Tennessee,Scott,
Tennessee,Sequatchie,
Tennessee,Sevier,
Tennessee,Smith,
Tennessee,Stewart,
Tennessee,Sumner,
Tennessee,Trousdale,
Tennessee,Unicoi,
Tennessee,Union,
Tennessee,Van Buren,
Tennessee,Warren,
Tennessee,Washington,
Tennessee,Wayne,
Tennessee,Weakley,
Tennessee,White,
Tennessee,Williamson,
Tennessee,Wilson,
Texas,Aransas,
Texas,Archer,
Texas,Atascosa,
Texas,Bandera,
Texas,Bastrop,
Texas,Baylor,
Texas,Bee,
Texas,Bexar,
Texas,Blanco,
Texas,Borden,
Texas,Bosque,
Texas,Brazoria,
Texas,Brewster,
Texas,Brooks,
Texas,Brown,
Texas,Burnet,
Texas,Caldwell,
Texas,Calhoun,
Texas,Callahan,
Texas,Cameron,
Texas,Clay,
Texas,Coke,
Texas,Coleman,
Texas,Collin,
Texas,Colorado,
Texas,Comal,
Texas,Comanche,
Texas,Concho,
Texas,Cooke,
Texas,Coryell,
Texas,Cottle,
Texas,Crane,
Texas,Crockett,
Texas,Dallas,
Texas,Denton,
Texas,De Witt,
Texas,Dickens,
Texas,Dimmit,
Texas,Duval,
Texas,Eastland,
Texas,Ector,
Texas,Edwards,
Texas,Ellis,
Texas,Erath,
Texas,Fannin,
Texas,Fisher,
Texas,Foard,
Texas,Frio,
Texas,Gillespie,
Texas,Glasscock,
Texas,Goliad,
Texas,Gonzales,
Texas,Grayson,
Texas,Guadalupe,
Texas,Hamilton,
Texas,Hardeman,
Texas,Haskell,
Texas,Hays,
Texas,Henderson,
Texas,Hidalgo,
Texas,Hill,
Texas,Hood,
Texas,Howard,
Texas,Hunt,
Texas,Irion,
Texas,Jack,
Texas,Jackson,
Texas,Jeff Davis,
Texas,Jim Hogg,
Texas,Jim Wells,
Texas,Johnson,
Texas,Jones,
Texas,Karnes,
Texas,Kaufman,
Texas,Kendall,
Texas,Kenedy,
Texas,Kent,
Texas,Kerr,
Texas,Kimble,
Texas,King,
Texas,Kinney,
Texas,Kleberg,
Texas,Knox,
Texas,Lamar,
Texas,Lampasas,
Texas,La Salle,
Texas,Lavaca,
Texas,Live Oak,
Texas,Llano,
Texas,McCulloch,
Texas,McLennan,
Texas,McMullen,
Texas,Martin,
Texas,Mason,
Texas,Matagorda,
Texas,Maverick,
Texas,Medina,
Texas,Menard,
Texas,Midland,
Texas,Mills,
Texas,Mitchell,
Texas,Montague,
Texas,Motley,
Texas,Navarro,
Texas,Nolan,
Texas,Nueces,
Texas,Palo Pinto,
Texas,Parker,
Texas,Pecos,
Texas,Presidio,
Texas,Reagan,
Texas,Real,
Texas,Refugio,
Texas,Rockwall,
Texas,Runnels,
Texas,San Patricio,
Texas,San Saba,
Texas,Schleicher,
Texas,Scurry,
Texas,Shackelford,
Texas,Somervell,
Texas,Starr,
Texas,Stephens,
Texas,Sterling,
Texas,Stonewall,
Texas,Sutton,
Texas,Tarrant,
Texas,Taylor,
Texas,Terrell,
Texas,Throckmorton,
Texas,Tom Green,
Texas,Travis,
Texas,Upton,
Texas,Uvalde,
Texas,Val Verde,
Texas,Victoria,
Texas,Ward,
Texas,Webb,
Texas,Wharton,
Texas,Wichita,
Texas,Wilbarger,
Texas,Willacy,
Texas,Wilson,
Texas,Wise,
Texas,Young,
Texas,Zapata,
Texas,Zavala,
Vermont,Addison,
Vermont,Bennington,
Vermont,Caledonia,
Vermont,Chittenden,
Vermont,Essex,
Vermont,Franklin,
Vermont,Grand Isle,
Vermont,Lamoille,
Vermont,Orange,
Vermont,Orleans,
Vermont,Rutland,
Vermont,Washington,
Vermont,Windham,
Vermont,Windsor,
Virginia,Accomack,
Virginia,Clarke,
Virginia,Frederick,
Virginia,Highland,
Virginia,Northampton,
Virginia,Winchester City,
Washington,Clark,
Washington,Cowlitz,
Washington,Douglas,
Washington,Pacific,
Washington,San Juan,
Wyoming,Goshen,
Kansas,Hamilton,
